image path: G006_IMG081.jpg, distances: [     9.4132      6.4427      3.1358       5.143], match: True, time: 0.3523538112640381
image path: G006_IMG082.jpg, distances: [     5.2007        7.48      5.0054      4.9851], match: True, time: 0.2167952060699463
image path: G006_IMG083.jpg, distances: [     10.812      11.359      8.5782      1.2397], match: True, time: 0.2815670967102051
image path: G006_IMG084.jpg, distances: [     14.117      7.0648      4.0502       9.242], match: True, time: 0.26001548767089844
image path: G006_IMG085.jpg, distances: [      3.129      7.7088      5.0063      3.3537], match: True, time: 0.3600790500640869
image path: G006_IMG086.jpg, distances: [     7.8842      6.8046      2.4447       5.945], match: True, time: 0.34665513038635254
image path: G006_IMG087.jpg, distances: [     9.1488      20.228      3.5406      6.5714], match: True, time: 0.22945928573608398
image path: G006_IMG088.jpg, distances: [     1.2216      6.2007      10.542      4.4878], match: True, time: 0.35684990882873535
image path: G006_IMG089.jpg, distances: [     6.2633      6.8001       3.474      3.4054], match: True, time: 0.311403751373291
image path: G006_IMG090.jpg, distances: [      8.421      16.109      5.8985      9.4221], match: True, time: 0.34191131591796875
image path: G006_IMG091.jpg, distances: [     3.1618       5.952      2.8069      16.504], match: True, time: 0.29398465156555176
image path: G006_IMG092.jpg, distances: [     6.1905      11.839      2.9622      8.0198], match: True, time: 0.30098462104797363
image path: G006_IMG093.jpg, distances: [     12.992      16.167       4.689       10.38], match: True, time: 0.49211573600769043
image path: G006_IMG094.jpg, distances: [     5.3106      2.6523      14.015      7.6339], match: True, time: 0.3761022090911865
image path: G006_IMG095.jpg, distances: [     10.711      6.8551      3.0261      8.5252], match: True, time: 0.23431062698364258
image path: G006_IMG096.jpg, distances: [     8.8789      3.5531      14.407      1.9477], match: True, time: 0.32450294494628906
image path: G006_IMG097.jpg, distances: [     11.533      10.727      4.9489      10.729], match: True, time: 0.4128563404083252
image path: G006_IMG098.jpg, distances: [     2.8215      6.7516      13.322      2.6798], match: True, time: 0.3607048988342285
image path: G006_IMG099.jpg, distances: [     2.8411       9.661      5.5687     0.90052], match: True, time: 0.42731714248657227
image path: G006_IMG100.jpg, distances: [     4.0625      7.8452      9.2195      9.4326], match: True, time: 0.2943720817565918
image path: G006_IMG101.jpg, distances: [     2.9522      11.853      11.907       4.673], match: True, time: 0.3072972297668457
image path: G006_IMG102.jpg, distances: [     10.764       8.424      5.4264       12.39], match: True, time: 0.2940633296966553
image path: G006_IMG103.jpg, distances: [     6.3907       8.194       3.062      2.1612], match: True, time: 0.3531205654144287
image path: G006_IMG104.jpg, distances: [      3.968      4.0466     0.99355      1.7682], match: True, time: 0.3096301555633545
image path: G006_IMG105.jpg, distances: [     1.8001      8.3592      3.1477      4.9268], match: True, time: 0.5343246459960938
image path: G006_IMG106.jpg, distances: [     4.3611      3.3692      11.396      4.7494], match: True, time: 0.24631047248840332
image path: G006_IMG107.jpg, distances: [     4.8684      1.5446      3.6938      9.3161], match: True, time: 0.2981290817260742
image path: G006_IMG108.jpg, distances: [     4.1165      2.9179     0.96171      7.6689], match: True, time: 0.3117525577545166
image path: G006_IMG109.jpg, distances: [     4.5026      15.274      3.9361      3.6358], match: True, time: 0.3686058521270752
image path: G006_IMG110.jpg, distances: [     5.1752       2.816       6.141     0.96124], match: True, time: 0.2010653018951416
image path: G006_IMG111.jpg, distances: [     11.441      14.154      13.651      10.825], match: True, time: 0.2869279384613037
image path: G006_IMG112.jpg, distances: [     10.134      9.5503        5.05       6.757], match: True, time: 0.3230254650115967
image path: G006_IMG113.jpg, distances: [     8.7924       2.354      6.0174      9.5991], match: True, time: 0.2331528663635254
image path: G006_IMG114.jpg, distances: [     5.1725      5.3969      4.4414      1.8516], match: True, time: 0.5170810222625732
image path: G006_IMG115.jpg, distances: [     7.8844      3.8602      2.8771      1.7377], match: True, time: 0.6597206592559814
image path: G006_IMG116.jpg, distances: [      6.152      5.2594      4.6511      5.6453], match: True, time: 0.228867769241333
image path: G006_IMG117.jpg, distances: [     3.9059       4.882      4.6001      3.5898], match: True, time: 0.3555293083190918
image path: G006_IMG118.jpg, distances: [     5.5629      4.5799      13.059      1.1638], match: True, time: 0.3488779067993164
image path: G006_IMG119.jpg, distances: [     8.7964      12.221      5.4212      5.7053], match: True, time: 0.3380863666534424
image path: G033_IMG000.jpg, distances: [     20.422      10.372      12.216      5.6797], match: True, time: 0.25037670135498047
image path: G033_IMG001.jpg, distances: [     3.2776      6.8602      1.9768      4.7872], match: True, time: 0.2170712947845459
image path: G033_IMG002.jpg, distances: [     4.9387      14.215      9.0878      8.7293], match: True, time: 0.2765979766845703
image path: G033_IMG003.jpg, distances: [     0.2285      8.4535      5.8195      1.6949], match: True, time: 0.25004029273986816
image path: G033_IMG004.jpg, distances: [     7.6614      1.4023      7.1417      5.8796], match: True, time: 0.28908419609069824
image path: G033_IMG005.jpg, distances: [     12.199      9.3172      4.6339      4.2858], match: True, time: 0.3108060359954834
image path: G033_IMG006.jpg, distances: [     1.2356      8.7031      10.535      8.4354], match: True, time: 0.3174307346343994
image path: G033_IMG007.jpg, distances: [     4.4115      4.0994      9.1031       3.158], match: True, time: 0.2547483444213867
image path: G033_IMG008.jpg, distances: [     3.8298      11.155      17.423      8.8002], match: True, time: 0.30414676666259766
image path: G033_IMG009.jpg, distances: [     2.5402      8.1363      343.74      364.14], match: False, time: 0.19334888458251953
image path: G033_IMG010.jpg, distances: [     4.3319      5.0674      8.8669      8.9249], match: True, time: 0.33985352516174316
image path: G033_IMG011.jpg, distances: [     3.3054      12.814      12.266      2.0699], match: True, time: 0.2856111526489258
image path: G033_IMG012.jpg, distances: [     3.0754      7.2318      5.3441      3.2687], match: True, time: 0.20485663414001465
image path: G033_IMG013.jpg, distances: [       1464      1176.7      1281.8      1143.9], match: False, time: 0.3340418338775635
image path: G033_IMG014.jpg, distances: [     6.7009      3.7503      4.8374     0.46057], match: True, time: 0.2981705665588379
image path: G033_IMG015.jpg, distances: [     1.4826      5.0723     0.69917      3.0963], match: True, time: 0.35114526748657227
image path: G033_IMG016.jpg, distances: [     557.82      546.64      536.02      533.84], match: False, time: 0.20113110542297363
image path: G033_IMG017.jpg, distances: [     12.171      15.518      7.7331      8.4776], match: True, time: 0.2807276248931885
image path: G033_IMG018.jpg, distances: [     7.0173      20.096      5.6819      1.8468], match: True, time: 0.2835724353790283
image path: G033_IMG019.jpg, distances: [     4.7058      7.2039       1.345      1.5471], match: True, time: 0.25225067138671875
image path: G033_IMG020.jpg, distances: [     7.9852     0.85783      2.7296      4.8895], match: True, time: 0.23978495597839355
image path: G033_IMG021.jpg, distances: [     13.091      6.5582      2.0738      10.063], match: True, time: 0.22323918342590332
image path: G033_IMG022.jpg, distances: [     10.295       9.682      8.3394      4.3256], match: True, time: 0.20727300643920898
image path: G033_IMG023.jpg, distances: [     8.5106      4.4417       8.269     0.77047], match: True, time: 0.26746201515197754
image path: G033_IMG024.jpg, distances: [     1.9511      4.5564      2.7335      4.1367], match: True, time: 0.3239731788635254
image path: G033_IMG025.jpg, distances: [     2.0221      1.8742      7.6964      12.337], match: True, time: 0.29737091064453125
image path: G033_IMG026.jpg, distances: [    0.81535      5.2802      2.4552      7.9465], match: True, time: 0.3284158706665039
image path: G033_IMG027.jpg, distances: [     9.3462      9.9719      14.277      9.2655], match: True, time: 0.28514838218688965
image path: G033_IMG028.jpg, distances: [     8.9115      9.2571      1.2587      19.356], match: True, time: 0.3004155158996582
image path: G033_IMG029.jpg, distances: [     3.9991      3.3214      2.7891      11.201], match: True, time: 0.22060728073120117
image path: G033_IMG030.jpg, distances: [     9.0792      4.5408      14.223      3.3278], match: True, time: 0.21964168548583984
image path: G033_IMG031.jpg, distances: [     19.724     0.99465      6.4973      7.4068], match: True, time: 0.3403439521789551
image path: G033_IMG032.jpg, distances: [     8.0744      4.5859      5.6507      12.894], match: True, time: 0.30259227752685547
