image path: G006_IMG036.jpg, distances: [     8.0978      5.0703      2.2294      1.4009], match: True, time: 4.744814157485962
image path: G006_IMG037.jpg, distances: [      1.112        4.33      8.5507      11.046], match: True, time: 6.826327323913574
image path: G006_IMG038.jpg, distances: [     10.464      5.2208      1.8202      7.0828], match: True, time: 4.967120409011841
image path: G006_IMG039.jpg, distances: [     1.3742      4.4033      6.1611      16.897], match: True, time: 5.001110076904297
image path: G006_IMG040.jpg, distances: [     6.0621      3.1122      3.1781      4.7637], match: True, time: 6.745574951171875
image path: G006_IMG041.jpg, distances: [     2.4075      11.897      447.95      134.08], match: False, time: 6.000277042388916
image path: G006_IMG042.jpg, distances: [     2.5515       3.585      1.0273      3.3235], match: True, time: 6.815275430679321
image path: G006_IMG043.jpg, distances: [     9.0349      2.7382       4.782     0.96829], match: True, time: 4.586507797241211
image path: G006_IMG044.jpg, distances: [     2.0019      5.6112      8.7163      3.6156], match: True, time: 6.171555042266846
image path: G006_IMG045.jpg, distances: [     2.3861      5.9062      4.3009      7.8949], match: True, time: 5.144061326980591
image path: G006_IMG046.jpg, distances: [     5.1501      1.7507      6.2865      2.4531], match: True, time: 6.350499629974365
image path: G006_IMG047.jpg, distances: [     4.2861      6.7271      2.8096      5.1564], match: True, time: 4.523936986923218
image path: G006_IMG048.jpg, distances: [     3.1937      4.3667      1.1992      5.3821], match: True, time: 6.557993650436401
image path: G006_IMG049.jpg, distances: [     6.0246      540.84      326.71      4.6461], match: False, time: 5.5543413162231445
image path: G006_IMG050.jpg, distances: [     2.7262      4.2881      2.8677      12.774], match: True, time: 6.343786001205444
image path: G006_IMG051.jpg, distances: [     5.5701      6.4325      5.9554      7.1421], match: True, time: 5.598317623138428
image path: G006_IMG052.jpg, distances: [     4.9706       5.909      6.1014       12.27], match: True, time: 6.706897020339966
image path: G006_IMG053.jpg, distances: [     5.5662      3.0785      761.92      203.83], match: False, time: 5.728386640548706
image path: G006_IMG054.jpg, distances: [     11.363      2.9464      58.024      221.87], match: False, time: 4.399874925613403
image path: G006_IMG055.jpg, distances: [     8.4888      3.4786      7.2743      4.5653], match: True, time: 5.3705198764801025
image path: G006_IMG056.jpg, distances: [     10.244      6.3811       1.641      9.9398], match: True, time: 6.60657811164856
image path: G006_IMG057.jpg, distances: [     6.3572      2.7765      428.96      201.37], match: False, time: 6.46196722984314
image path: G006_IMG058.jpg, distances: [     7.1588     0.80624      1.6858      9.7196], match: True, time: 5.547699451446533
image path: G006_IMG059.jpg, distances: [     2.1264      5.7723      2.9856       5.034], match: True, time: 5.840644121170044
image path: G006_IMG060.jpg, distances: [     1.4583      5.2759      452.18      348.94], match: False, time: 5.833489179611206
image path: G006_IMG061.jpg, distances: [     4.0618      3.7489      4.8016      14.032], match: True, time: 5.654665946960449
image path: G006_IMG062.jpg, distances: [     12.551      1.6639      2.2917       5.746], match: True, time: 5.1748199462890625
image path: G006_IMG063.jpg, distances: [     1.7242      3.0994      3.1396      8.8736], match: True, time: 5.934805393218994
image path: G006_IMG064.jpg, distances: [     3.1563      3.1262      3.3721       3.352], match: True, time: 5.947213411331177
image path: G006_IMG065.jpg, distances: [     7.3701      4.2472      4.5115      7.7737], match: True, time: 4.704632043838501
image path: G006_IMG066.jpg, distances: [     11.455      2.9224      1.8976      1.9768], match: True, time: 5.054081916809082
image path: G006_IMG067.jpg, distances: [     4.5564      5.7217      2.9886      9.8683], match: True, time: 5.851961851119995
image path: G006_IMG068.jpg, distances: [    0.98248       4.971      8.3554      3.9966], match: True, time: 5.207069396972656
image path: G006_IMG069.jpg, distances: [     4.3355      7.8423      2.5726      3.2849], match: True, time: 5.910482883453369
image path: G006_IMG070.jpg, distances: [     16.805      1.6558      1.9579      6.8002], match: True, time: 5.4047627449035645
image path: G006_IMG071.jpg, distances: [     10.846       6.531      5.7083      3.4366], match: True, time: 5.318568229675293
image path: G006_IMG072.jpg, distances: [     2.5932      5.4508      326.48       154.4], match: False, time: 5.5863072872161865
image path: G006_IMG073.jpg, distances: [     3.5555      4.6805      9.0108      10.471], match: True, time: 6.400792360305786
image path: G006_IMG074.jpg, distances: [     10.246      1.7734      2.6565      1.2573], match: True, time: 4.8772430419921875
image path: G006_IMG075.jpg, distances: [     3.4223      3.4014      2.0287      8.0429], match: True, time: 6.13535737991333
image path: G006_IMG076.jpg, distances: [     11.995      1.1908       5.733      6.1064], match: True, time: 5.946679592132568
image path: G006_IMG077.jpg, distances: [     10.846      5.2167      4.3422      13.789], match: True, time: 4.966501951217651
image path: G006_IMG078.jpg, distances: [     2.9397       3.695      5.1579      1.8898], match: True, time: 5.992556810379028
image path: G006_IMG079.jpg, distances: [     1193.4      1102.8      1500.9      1004.8], match: False, time: 5.579549312591553
image path: G006_IMG080.jpg, distances: [     11.046      4.8285      3.6688       8.072], match: True, time: 6.063502073287964
image path: G006_IMG081.jpg, distances: [     4.6545     0.93604     0.43415      3.7887], match: True, time: 6.159868001937866
image path: G006_IMG082.jpg, distances: [     14.207      1.9052      6.1032      3.3654], match: True, time: 5.078521966934204
image path: G006_IMG083.jpg, distances: [     7.1793      4.4237      266.58      72.838], match: False, time: 4.684723138809204
image path: G006_IMG084.jpg, distances: [     2.3135       6.787      4.4395      15.565], match: True, time: 4.8898398876190186
image path: G006_IMG085.jpg, distances: [     3.6258      7.8107       11.61      1.4004], match: True, time: 6.555513381958008
image path: G006_IMG086.jpg, distances: [     3.0071      3.3468      5.4353      9.3881], match: True, time: 5.872330665588379
image path: G006_IMG087.jpg, distances: [     8.1003      1.9475      11.464      2.1568], match: True, time: 5.127666711807251
image path: G006_IMG088.jpg, distances: [     10.914       8.472      2.4186      2.3553], match: True, time: 4.356812238693237
image path: G006_IMG089.jpg, distances: [     4.1223      4.1295       6.923       6.022], match: True, time: 5.380215644836426
image path: G006_IMG090.jpg, distances: [     2.0826      3.9182       6.657       4.356], match: True, time: 5.6782002449035645
image path: G006_IMG091.jpg, distances: [     13.415      2.4744      2.1781      2.3534], match: True, time: 5.085384845733643
image path: G006_IMG092.jpg, distances: [    0.40523      3.6598      86.404      321.74], match: False, time: 5.653181791305542
image path: G006_IMG093.jpg, distances: [     3.2151      4.2144      1.1549      4.1385], match: True, time: 5.975519180297852
image path: G006_IMG094.jpg, distances: [     4.1244      6.4213      2.9966        4.39], match: True, time: 5.901656866073608
image path: G006_IMG095.jpg, distances: [     9.3389      6.6516      6.4805      4.4942], match: True, time: 5.0072996616363525
image path: G006_IMG096.jpg, distances: [     4.9541      5.9548     0.70388      3.3994], match: True, time: 6.633028745651245
image path: G006_IMG097.jpg, distances: [      3.172        7.26      10.399      9.8825], match: True, time: 6.715704917907715
image path: G006_IMG098.jpg, distances: [     10.425      1.0195      1.9301      3.0681], match: True, time: 4.872185945510864
image path: G006_IMG099.jpg, distances: [     4.0698      6.0363      5.0309      1.8976], match: True, time: 5.553130626678467
image path: G006_IMG100.jpg, distances: [     2.0928      7.9676      3.2294      1.2732], match: True, time: 5.310439109802246
image path: G006_IMG101.jpg, distances: [     1.8189      5.0564      3.1023      6.9331], match: True, time: 5.8267905712127686
image path: G006_IMG102.jpg, distances: [      13.33      5.7877      3.4133      2.3691], match: True, time: 6.008853912353516
